TALLER;VIN;COLOR;"FECHA PLANIFICADA";"FECHA DE INGRESO A FLUJO";"DÍAS TRANSCURRIDOS AL 20-05-2026";MODELO;MARCA;PROCESO;ESTADO;CONCESIONARIO;OBSERVACIONES
"VARI OVALO";9BWCH6CH3TP026409R;"GRIS PIEDRA - NEGRO";2026-05-23;2026-05-19;2;"NIVUS HIGHLINE 200 TSI TIP";"VW Pasajeros";BOCAMAZA;"EN PROCESO";"EUROSHOP S.A. ";"EUROSHOP S.A. - VW San Borja"
"VARI OVALO";3VV9P6B25TM066583;"NEGRO PERLADO";2026-05-23;2026-05-19;2;"TAOS HIGHLINE 250 TSI, 1.4L, 2WD, TIP";"VW Pasajeros";BOCAMAZA;"EN PROCESO";"EUROSHOP S.A. ";"EUROSHOP S.A. - VW Surquillo"
"VARI OVALO";WAUZZZGU1S2106634;"Plata Florett";2026-01-20;2026-01-15;126;"Q5 Sportback TFSI 146 kW S tronic";AUDI;DESPACHO;PENDIENTE;"EUROSHOP S.A. ";"EXHIVBICION AUDI AREQUIPA"
"VARI OVALO";WAUZZZ4M1TD000193P;"Blanco Glaciar";2025-10-25;2025-10-22;211;"Q7 Ambition 55 TFSI quattro Tiptronic";AUDI;DESPACHO;PENDIENTE;"EURO MOTORS S.A. ";"ADELANTO PDI PUERTO"
"VARI OVALO";VSSZZZKP4T1014881;"MORADO VACÍO";2026-03-13;2026-03-10;72;"TERRAMAR LIMITED 1.4 TSI DSG CA7";CUPRA;DESPACHO;PENDIENTE;"EURO MOTORS S.A. ";"ADELANTO DE PDI"
"VARI OVALO";HJRPBGGB0VB031412;"GRIS OSCURO";2026-04-10;2026-04-06;45;"DASHING 1.6T 4X2 7DCT B ACP";JETOUR;DESPACHO;PENDIENTE;"AION S.A.C. ";"VENTA AION 25.03|"
"VARI OVALO";HJRPBGGB7VB031424;ROJO;2026-04-10;2026-04-06;45;"DASHING 1.6T 4X2 7DCT B ACP";JETOUR;DESPACHO;PENDIENTE;"REVO MOTORS S.A. ";"VENTA REVO WH 02/03/2026|"
"VARI OVALO";LVTDB21B6TDB38065;BLANCO;2026-01-14;2026-01-08;133;"T1 1.5T 4X2 7DCT B/O";JETOUR;DESPACHO;PENDIENTE;"Altos Andes S.A. ";"VENTA REVO"
"VARI OVALO";LVTDD24B0TDA96353R;NEGRO;2026-01-31;2026-01-29;112;"T1 2.0T AWD 8AT B/O";JETOUR;DESPACHO;PENDIENTE;"REVO MOTORS S.A. ";"ADELANTO PDI ZI - VENTA REVO"
"VARI OVALO";LVTDB11B9TDB27765;NEGRO;2025-12-26;2025-12-17;155;"X50 1.5L 4X2 5MT CONFORT";JETOUR;DESPACHO;PENDIENTE;"INTERAMERICANA NORTE S.A.C. ";"ADELANTO PDI"
